playerID,career_G_zsum,career_AB_zsum,career_R_zsum,career_H_zsum,career_2B_zsum,career_3B_zsum,career_HR_zsum,career_RBI_zsum,career_SB_zsum,career_BB_zsum,career_SO_zsum
wilkile01,-1.6043435214108284,-2.0226890277975573,-1.7207740760544095,-1.8200145472475833,-1.9559725702633304,-1.1661906354459377,-1.2710001903011934,-1.71102263922152,-1.282792987585541,-1.8567097458633124,-2.1165975894052895
wilkima01,-1.346819355927757,-4.277740240537862,-3.855718867798835,-4.028580269451584,-3.8885020084475634,-2.7461843335549165,-3.041916479911418,-3.6460917492858878,-2.375191638591138,-3.5929561998636728,-4.092842927348395
wilkiri01,-0.5064998786613514,-0.2490541247283159,-0.6148050394156187,-1.1829931520519685,-1.045140565441427,-3.3057038988334697,2.632278841509506,-0.23825939485893138,-4.956206832031046,2.7411404620282775,5.682435808135189
wilkiro01,-3.522367818925061,-3.517018188559291,-3.2778493382021563,-3.4836068317676414,-3.1247501765117613,-2.3796285466696077,-1.9278031680784717,-3.2149692973185124,-2.4218792418228943,-3.1192283460931334,-2.3110120510623346
wilkste01,-4.344408240243563,-8.246194665177999,-7.42971086900269,-8.025208884933859,-7.594442985831995,-6.391467955267564,-5.534104468630314,-7.334216996237362,-4.723754799997555,-7.075114917418985,-6.670809871646963
willaje01,-3.226348102105085,-4.050040433579753,-4.156031951142539,-3.8752502818142576,-4.11201722779205,-4.4105068987354,-1.7621126493242776,-2.6258352490876087,-3.7737428264243906,-2.9619742554498925,-2.9402408806226
willbo01,2.0535723206495717,0.004455424654796758,-0.6222815654837671,-0.1329404728181114,0.2597928254913917,1.3045082336881824,-1.7372634102620768,-0.43187915783539965,-1.5457841938412424,0.08149633588048222,-0.280784581160013
willeca01,-4.606244507806145,-4.632619334678546,-4.897814604293425,-4.99829797394391,-4.570537182982668,-3.5308503789512398,-3.732318363729776,-4.695614654978909,-2.675643105097246,-4.8459402724877565,-1.1290711270947762
willeed01,-4.221564467562229,-4.827938899550689,-4.942885718126231,-5.057894465074744,-3.702502698665592,-3.218531061375973,-1.6046025638304249,-4.061493258088218,-5.550174445149604,-5.573010983774007,-0.490357570880045
willhni01,-6.562206629990664,-5.116394962410012,-4.433626246353247,-4.673100976353605,-4.277255199115069,-3.4894107440226545,-3.4572797237512227,-4.252438496446045,-2.3839206965172512,-4.2900591416472,-5.438376700872159
