RegularSeasonGamesAsHitter,RegularSeasonOBP,RegularSeasonSLG,RegularSeasonStolenBases,RegularSeasonGamesPitched,RegularSeasonERA,RegularSeasonShutouts,RegularSeasonSaves,RegularSeasonWHIP,RegularSeasonKPer9,PostSeasonGamesAsHitter,PostSeasonOBP,PostSeasonSLG,PostSeasonStolenBases,PostSeasonGamesPitched,PostSeasonERA,PostSeasonShutouts,PostSeasonSaves,PostSeasonWHIP,PostSeasonKPer9,AllStarAppearances,PitchingTripleCrowns,TripleCrowns,MVPs,RookieOfTheYears,WorldSeriesMVPs,CyYoungAwards,GoldGloves,AllStarGameMVPs,NLCSMVPs,ALCSMVPs,Label
211,0.26375178,0.26917294,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,0.2955161,0.32447508,86,1,54,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.071428575,0.10714286,0,29,5.186842,0,0,1.5552632,6.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.27941176,0.16949153,0,34,3.009693,3,0,1.260097,4.405493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3809524,0.23529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.20754717,0.23076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.11111111,0.11111111,0,125,5.0841656,0,3,1.467903,4.9686165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,0.095744684,0.097826086,0,495,3.2815013,0,123,1.2774799,4.8739944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0.34879407,0.40421054,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.33333334,0.33333334,0,5,4.868852,0,0,1.9180329,4.868852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,3,2.7,0,0,0.90000004,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
