Opt_Goal,Player_Type,VIF_Threshold,Model,Validator,Result_MCC,Result_Precision,Result_Recall,Result_AUPRC,Brier_Score,Opt_Threshold,Num_Features,Golden_Features
mcc,pitcher,5.01,LogisticRegression,RepeatedStratifiedKFold,0.3780170041832187,0.7142857142857143,0.20408163265306123,0.3313990916239101,0.010284274105264814,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,RandomForest,RepeatedStratifiedKFold,0.3677009578867946,0.75,0.1836734693877551,0.27883451078617594,0.010372272600964128,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,XGBoost,RepeatedStratifiedKFold,0.3350270580044441,0.3064516129032258,0.3877551020408163,0.2683507436965805,0.07242344319820404,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,LinearSVC,RepeatedStratifiedKFold,0.36476422322631563,0.6666666666666666,0.20408163265306123,0.32451928324301305,0.010093875701557349,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,EBM,RepeatedStratifiedKFold,0.40196593082981114,0.7333333333333333,0.22448979591836735,0.34913854049066084,0.009821928653805777,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,BalancedRandomForest,RepeatedStratifiedKFold,0.09417612483602655,0.022191400832177532,0.9795918367346939,0.15979577379296478,0.524283081679654,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,10.01,LogisticRegression,StratifiedKFold,0.4165193034691844,0.7857142857142857,0.22448979591836735,0.3018727809799486,0.009964287450324646,0.5,15,"pitching_KPerBB, MVPs, pitching_SHO, post_pitching_OBP, post_pitching_L, post_pitching_G, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_SV, post_pitching_HR, post_pitching_W, PitchingTripleCrowns, CyYoungs, pitching_GIDP"
mcc,pitcher,10.01,RandomForest,StratifiedKFold,0.3583403791159064,0.8,0.16326530612244897,0.2955459799442929,0.010135297486151952,0.5,15,"pitching_KPerBB, MVPs, pitching_SHO, post_pitching_OBP, post_pitching_L, post_pitching_G, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_SV, post_pitching_HR, post_pitching_W, PitchingTripleCrowns, CyYoungs, pitching_GIDP"
mcc,pitcher,10.01,XGBoost,StratifiedKFold,0.3211823257370309,0.3333333333333333,0.32653061224489793,0.23092990754648843,0.08547154068946838,0.5,15,"pitching_KPerBB, MVPs, pitching_SHO, post_pitching_OBP, post_pitching_L, post_pitching_G, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_SV, post_pitching_HR, post_pitching_W, PitchingTripleCrowns, CyYoungs, pitching_GIDP"
mcc,pitcher,10.01,LinearSVC,StratifiedKFold,0.43270422923267665,0.8461538461538461,0.22448979591836735,0.30348241711369756,0.009912868254157235,0.5,15,"pitching_KPerBB, MVPs, pitching_SHO, post_pitching_OBP, post_pitching_L, post_pitching_G, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_SV, post_pitching_HR, post_pitching_W, PitchingTripleCrowns, CyYoungs, pitching_GIDP"
