playerID,batting_G,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_IBB,batting_HBP,batting_SH,batting_SF,batting_GIDP,batting_1B,batting_TB,batting_PA,batting_OBP,batting_AVG,batting_SLG,batting_OPS,batting_SBP,batting_BAbip,batting_ISO,batting_PowerSpeedNumber,batting_ABPerHR,batting_ABPerK
puckeki01,24,97,16,30,3,2,5,15,3,1.0,8,17,4.0,1.0,1.0,2.0,1.0,20,52,108.0,1.4291374474053296,1.244047619047619,2.1845238095238093,3.613661256929139,2.5,1.2800925925925926,0.9404761904761905,2.333333333333333,46.5,41.47857142857143
puhlte01,13,43,6,16,3,0,0,3,4,0.0,3,3,0.0,0.0,0.0,0.0,0.0,13,19,46.0,1.448051948051948,1.3834586466165413,1.5363408521303257,2.984392800182274,3.0,1.4549019607843137,0.15288220551378445,0.0,0.0,30.5
puigya01,17,57,10,16,1,2,0,5,0,1.0,2,25,0.0,2.0,0.0,0.0,2.0,13,21,61.0,1.1180124223602486,0.9478609625668449,1.264260249554367,2.3822726719146154,0.0,1.7820512820512822,0.3163992869875223,0.0,0.0,9.95
pujolal01,77,279,55,90,18,1,19,54,1,2.0,49,40,12.0,3.0,0.0,1.0,5.0,52,167,332.0,6.786572648218104,5.087281741904167,9.130833968980422,15.917406617198525,0.5,5.123323481643915,4.043552227076255,0.0,146.83333333333334,101.96666666666667
pujollu01,6,16,1,1,0,1,0,0,0,0.0,3,1,0.0,0.0,1.0,0.0,0.0,0,3,19.0,0.3076923076923077,0.1,0.3,0.6076923076923078,0.0,0.1,0.2,0.0,0.0,6.0
puntoni01,28,64,0,14,2,0,0,4,0,0.0,10,24,0.0,0.0,1.0,0.0,0.0,12,16,74.0,1.9063467492260062,1.4587301587301587,1.7365079365079366,3.6428546857339423,0.0,2.675865800865801,0.2777777777777778,0.0,0.0,30.708333333333332
purkebo01,2,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
putzjj01,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quallch01,13,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quilifr01,10,22,2,4,2,0,0,1,0,1.0,4,4,2.0,0.0,0.0,0.0,0.0,2,6,26.0,0.3333333333333333,0.2,0.3,0.6333333333333333,0.0,0.23529411764705882,0.1,0.0,0.0,8.666666666666668
quinlro01,4,6,1,2,0,0,1,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,1,5,6.0,0.8333333333333333,0.8333333333333333,1.8333333333333333,2.6666666666666665,0.0,0.5,1.0,0.0,3.0,1.5
quinnja01,3,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
quinnjo02,6,21,2,6,1,1,0,4,0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,4,9,22.0,0.3181818181818182,0.2857142857142857,0.42857142857142855,0.7467532467532467,0.0,0.3157894736842105,0.14285714285714285,0.0,0.0,10.5
quinolu01,3,2,1,1,0,0,0,2,1,0.0,0,0,0.0,0.0,0.0,1.0,0.0,1,1,3.0,0.3333333333333333,0.5,0.5,0.8333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
